readinglevel_entity,beginner,"easy, entry-level, basic"
readinglevel_entity,teen,"young adult, adolescent, YA"
readinglevel_entity,expert,"academic, elite, research-level"
readinglevel_entity,quick read,"fast-paced, short, bite-sized"
readinglevel_entity,adult,"mature, grown-up, deeper themes"
readinglevel_entity,casual,"relaxed, light, informal"
readinglevel_entity,intermediate,"moderate, average, balanced"
readinglevel_entity,lengthy,"long-form, extended, detailed"
readinglevel_entity,young reader,"kids, child-friendly, early age"
readinglevel_entity,advanced,"complex, intense, high-level"
